date,course,off_time,race_id,winner,winner_sp,VELO_pick,VELO_result,VELO_pos,VELO_sp,VELO_pnl,VELO_tier,VELO_vp,VELO_mds,VELO_place,VELO_core_support,VELO_all_tipster_support,SPOTLIGHT_pick,SPOTLIGHT_result,SPOTLIGHT_pos,SPOTLIGHT_sp,SPOTLIGHT_pnl,POSTDATA_pick,POSTDATA_result,POSTDATA_pos,POSTDATA_sp,POSTDATA_pnl,TOPSPEED_pick,TOPSPEED_result,TOPSPEED_pos,TOPSPEED_sp,TOPSPEED_pnl,RP_RATINGS_pick,RP_RATINGS_result,RP_RATINGS_pos,RP_RATINGS_sp,RP_RATINGS_pnl
2026-05-21,Chepstow,8.10,rp_CHP_20260521_8.10,Battle Of Maldon,5.5,Windbreaker,LOSE,,,-1.0,B,0.2759,0.1064,0.5847,1,7,Windbreaker,LOSE,,,-1.0,Hapiness,PLACE,2,4.0,-1.0,,,,,0.0,,,,,0.0
2026-05-21,Chepstow,8.40,rp_CHP_20260521_8.40,The Green Mile,12.0,River King,PLACE,2,1.62,-1.0,B,0.2065,0.1572,0.8554,1,7,River King,PLACE,2,1.62,-1.0,Robbo,LOSE,,,-1.0,Robbo,LOSE,,,-1.0,Alcaraz,LOSE,,,-1.0
2026-05-21,Haydock,2.00,rp_HAY_20260521_2.00,Torcello,3.75,Dreams Adozen,LOSE,,,-1.0,B,0.2064,0.0797,0.6941,1,3,Dreams Adozen,LOSE,,,-1.0,Maw,LOSE,,,-1.0,Ebony Maw,LOSE,,,-1.0,Ebony Maw,LOSE,,,-1.0
2026-05-21,Haydock,2.30,rp_HAY_20260521_2.30,Outback Legend,4.2,Scarlet Legend,PLACE,3,1.67,-1.0,B,0.257,0.1481,0.704,2,10,Scarlet Legend,PLACE,3,1.67,-1.0,Scarlet Legend,PLACE,3,1.67,-1.0,,,,,0.0,,,,,0.0
2026-05-21,Haydock,3.00,rp_HAY_20260521_3.00,Secret Of Life,2.62,Secret Of Life,WIN,1,2.62,1.62,B,0.2302,0.0797,0.4393,2,7,Secret Of Life,WIN,1,2.62,1.62,Secret Of Life,WIN,1,2.62,1.62,,,,,0.0,,,,,0.0
2026-05-21,Haydock,3.30,rp_HAY_20260521_3.30,Euphonia,7.5,Lion Of Mali,LOSE,,,-1.0,C,0.1132,0.0539,0.5497,0,4,Eduardo Calderon,LOSE,,,-1.0,Supreme Clarets,LOSE,,,-1.0,Go Victor,LOSE,,,-1.0,Eduardo Calderon,LOSE,,,-1.0
2026-05-21,Haydock,4.03,rp_HAY_20260521_4.03,Persian Land,15.0,Charted Course,PLACE,2,3.0,-1.0,A,0.3935,0.1572,0.6203,1,6,Charted Course,PLACE,2,3.0,-1.0,Regal Tiger,LOSE,,,-1.0,,,,,0.0,,,,,0.0
2026-05-21,Haydock,4.38,rp_HAY_20260521_4.38,There's A Chance,4.33,Explosive Finnish,LOSE,,,-1.0,C,0.2157,0.0109,0.2333,0,0,Stoneacre Joe,LOSE,,,-1.0,Showtown,LOSE,,,-1.0,,,,,0.0,Stoneacre Joe,LOSE,,,-1.0
2026-05-21,Haydock,5.13,rp_HAY_20260521_5.13,Trilby,2.88,Wheels Of Fire,LOSE,,,-1.0,B,0.2188,0.1064,0.8186,1,2,Wheels Of Fire,LOSE,,,-1.0,Trilby,WIN,1,2.88,1.88,The Bell Conductor,PLACE,2,12.0,-1.0,Brummell,LOSE,,,-1.0
2026-05-21,Limerick,4.43,rp_LIM_20260521_4.43,Mic Drop,8.0,Prince Of Air,LOSE,,,-1.0,B,0.193,0.0102,0.1953,0,0,Ellies Rock,LOSE,,,-1.0,L'Amiral Fromentin,PLACE,3,9.5,-1.0,L'Amiral Fromentin,PLACE,3,9.5,-1.0,Of Air,LOSE,,,-1.0
