course,off_time,race_id,runner_name,matched_passport_name,match_tier,match_confidence,passport_available,reason,source_file
BEV,4.35,BEV_4.35,Ma Leila,Ma Leila,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Porth Eilian,Porth Eilian,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Sandy Craic,Sandy Craic,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Sogniamo,Sogniamo,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Vitality,Vitality,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Bajan Bandit,Bajan Bandit,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Capital Guarantee,Capital Guarantee,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Coolree,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Degale,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.769 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Glenfinnan,Glenfinnan,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Highland Olly,Highland Olly,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,It Just Takes Time,It Just Takes Time,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.10,BEV_5.10,Tattie Bogle,Tattie Bogle,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Battenburg Belle,Battenburg Belle,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Forever Twenty,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.741 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Hood Wink,Hood Wink,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Maid On The Shelf,Maid On The Shelf,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Truly Special,Truly Special,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Walk On Walk On,Walk On Walk On,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,5.40,BEV_5.40,Zoulette,Zoulette,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
CRL,6.09,CRL_6.09,Bellasio,Bellasio,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Eagles Dream,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.818 below 0.90 threshold,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Financer,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.706 below 0.90 threshold,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Hostility,Hostility,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Izzari,Izzari,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Jewel Maker,Jewel Maker,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Kisiyra,Kisiyra,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Krissy,Krissy,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.09,CRL_6.09,Mr Lincoln,Mr Lincoln,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.39,CRL_6.39,Can I Kiss You,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.560 below 0.90 threshold,racecard_CRL_2026-07-04.json
CRL,6.39,CRL_6.39,Captain Pickles,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.750 below 0.90 threshold,racecard_CRL_2026-07-04.json
CRL,6.39,CRL_6.39,Mertoun,Mertoun,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.39,CRL_6.39,Shoptilyoudrop,Shoptilyoudrop,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_CRL_2026-07-04.json
CRL,6.39,CRL_6.39,Top Gun Tina,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.600 below 0.90 threshold,racecard_CRL_2026-07-04.json
