race_id,course,date,off_time,reason,candidates
rp_FAI_20260605_6.00,Fairyhouse,2026-06-05,6.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_6.34,Fairyhouse,2026-06-05,6.34,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_7.09,Fairyhouse,2026-06-05,7.09,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_7.44,Fairyhouse,2026-06-05,7.44,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_5.55,Goodwood,2026-06-05,5.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_6.27,Goodwood,2026-06-05,6.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_7.02,Goodwood,2026-06-05,7.02,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_7.37,Goodwood,2026-06-05,7.37,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_8.12,Goodwood,2026-06-05,8.12,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_1.50,Musselburgh,2026-06-05,1.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_2.25,Musselburgh,2026-06-05,2.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_3.00,Musselburgh,2026-06-05,3.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_3.40,Musselburgh,2026-06-05,3.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_4.15,Musselburgh,2026-06-05,4.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260605_4.50,Musselburgh,2026-06-05,4.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_SARATOGA_20260605_10.08,Saratoga,2026-06-05,10.08,NO_LOCAL_RESULT_FILE_MATCH,0
rp_SARATOGA_20260605_10.46,Saratoga,2026-06-05,10.46,NO_LOCAL_RESULT_FILE_MATCH,0
rp_SARATOGA_20260605_11.25,Saratoga,2026-06-05,11.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_1.40,Thirsk,2026-06-05,1.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_2.50,Thirsk,2026-06-05,2.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_3.30,Thirsk,2026-06-05,3.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_4.10,Thirsk,2026-06-05,4.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_4.45,Thirsk,2026-06-05,4.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_THI_20260605_5.20,Thirsk,2026-06-05,5.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_5.45,Chepstow,2026-06-06,5.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260606_6.20,Chepstow,2026-06-06,6.20,NO_LOCAL_RESULT_FILE_MATCH,0
