run_date,race_id,model_name,lane_name,horse,horse_id,source_scorecard_id,source_field,rank,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,event_type,promotion_eligible,promotion_block_reason,lesson,evidence,generated_from_commit
2026-07-05,922294,MAIN_VELO_PRIME,main,Jkr Cobbler,3662546,31,velo_prime_prob,1,0.3659,4.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,MODEL_HIT_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Jkr Cobbler (SP 4.0) and it won.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922294,SQPE_NO_RPR_SHADOW,shadow,Lope Y Linda,7365388,32,sqpe_no_rpr_shadow_prob,1,0.1035,9.5,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Lope Y Linda (SP 9.5) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922288,MAIN_VELO_PRIME,main,Dwindling Funds,7339104,33,velo_prime_prob,1,0.6455,4.33,2,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Dwindling Funds (SP 4.33) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922288,SQPE_NO_RPR_SHADOW,shadow,Celeborn,6032317,34,sqpe_no_rpr_shadow_prob,1,0.1146,4.5,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Celeborn (SP 4.5) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922292,MAIN_VELO_PRIME,main,Shifter,4011144,35,velo_prime_prob,1,0.2914,5.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Shifter (SP 5.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922292,SQPE_NO_RPR_SHADOW,shadow,Mr Withington,6881400,36,sqpe_no_rpr_shadow_prob,1,0.1113,7.0,6,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Mr Withington (SP 7.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922293,MAIN_VELO_PRIME,main,Langholm,1860060,37,velo_prime_prob,1,0.3855,8.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Langholm (SP 8.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922293,SQPE_NO_RPR_SHADOW,shadow,Park Lane Penny,7204932,38,sqpe_no_rpr_shadow_prob,1,0.1138,4.33,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Park Lane Penny (SP 4.33) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922289,MAIN_VELO_PRIME,main,Idyllic,5403096,39,velo_prime_prob,1,0.3253,34.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Idyllic (SP 34.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922289,SQPE_NO_RPR_SHADOW,shadow,Kokanee,6679883,40,sqpe_no_rpr_shadow_prob,1,0.1086,4.33,8,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Kokanee (SP 4.33) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
