course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
CRL,6.39,Top Gun Tina,Top Star,0.6,Lope Y Linda,0.5833,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
CRL,7.09,Jannas Journey,Asian Journey,0.7407,Amazing Journey,0.6897,NO_MATCH,best fuzzy score 0.741 below 0.90 threshold
CRL,7.09,The Green Man,The Green Mile,0.8148,The Resdev Roman,0.7586,NO_MATCH,best fuzzy score 0.815 below 0.90 threshold
CRL,7.39,Covert Legend,Ruler Legend,0.72,Convergent,0.6957,NO_MATCH,best fuzzy score 0.720 below 0.90 threshold
CRL,7.39,Twelve,V Twelve,0.8571,True Love,0.6667,NO_MATCH,best fuzzy score 0.857 below 0.90 threshold
CRL,8.09,Arctic Fox,Fantastic Fox,0.6957,Arctic Voyage,0.6957,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
CRL,8.39,Maui Breeze,Bay Breeze,0.7619,Harlequin Breeze,0.7407,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
CRL,8.39,Thistle Nil,Thistle Cross,0.6667,Settle Down Jill,0.5926,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
LEI,2.11,Champagne Charlee,Bethpage Theatre,0.6061,Caman Hill,0.5926,NO_MATCH,best fuzzy score 0.606 below 0.90 threshold
LEI,2.11,Little Mester,Little Peter,0.88,Little Tiger,0.8,NO_MATCH,best fuzzy score 0.880 below 0.90 threshold
LEI,2.11,Vinery,Pitney,0.6667,Vingegaard,0.625,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
LEI,2.11,Yankeedoodledandy,Enchanted Lady,0.5161,Lynwood Lad,0.5,NO_MATCH,best fuzzy score 0.516 below 0.90 threshold
LEI,2.46,Anyasi,Waasil,0.6667,Canvas,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
LEI,2.46,Baby G,Baby Rover,0.625,Baby Sakura,0.5882,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
LEI,3.20,Bel Air Flyer,Monard Flyer,0.64,Shelbourne Flyer,0.6207,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
LEI,3.20,Kameel,Hamaleel,0.7143,Kokanee,0.6154,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
LEI,3.56,Dolo'S Star,Mollys Star,0.7619,Dallas Star,0.7619,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
LEI,3.56,Guernsey Angel,Ron's Angel,0.75,Guernsey Lady,0.7407,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
LEI,3.56,Q T Pie,Toptime,0.5714,Among The Pines,0.5455,NO_MATCH,best fuzzy score 0.571 below 0.90 threshold
LEI,3.56,Sierra Sue,Sea Suite,0.7368,Sierra Sands,0.7273,NO_MATCH,best fuzzy score 0.737 below 0.90 threshold
LEI,4.30,Eduardo Calderon,The Dark Baron,0.6,Belardo Ace,0.5926,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
LEI,4.30,Galileo Island,Belle Island,0.7692,Sable Island,0.7692,NO_MATCH,best fuzzy score 0.769 below 0.90 threshold
LEI,4.30,Pints In Peace,Sprinting Speed,0.6897,Path To Peace,0.6667,NO_MATCH,best fuzzy score 0.690 below 0.90 threshold
LEI,5.05,Aspire To Glory,Spirit Of Glory,0.8,A Taste Of Glory,0.7097,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
LEI,5.05,Avispado,Fiskardo,0.625,Avalo,0.6154,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
LEI,5.05,My Ambition,My Champion,0.7273,Lemmy Caution,0.6667,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
LEI,5.35,Due Date,Due Destiny,0.6316,Blue Mantle,0.6316,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
LEI,5.35,Great Success,Great Blasket,0.6154,Great Acclaim,0.6154,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
NAA,1.22,Arizonaneargalway,American Gal,0.5517,Ariane Sky,0.5185,NO_MATCH,best fuzzy score 0.552 below 0.90 threshold
NAA,1.22,Concorde Landed,Spendmore Lane,0.6207,Second Line,0.6154,NO_MATCH,best fuzzy score 0.621 below 0.90 threshold
NAA,1.22,Fly Smartly,Felix Somary,0.6957,Lairy Mary,0.6667,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
NAA,1.22,My Irish Lady,English Lady,0.64,Lihou Lady,0.6087,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
NAA,1.22,Shi Yang,Ski Angel,0.7059,Pashang,0.6667,NO_MATCH,best fuzzy score 0.706 below 0.90 threshold
NAA,1.22,Southern Boulevard,Northern Bea,0.6667,Northern Soldier,0.6471,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,1.22,Woodlawn Lily,00woodland Aria,0.6429,Motown Filly,0.64,NO_MATCH,best fuzzy score 0.643 below 0.90 threshold
NAA,1.57,Cardiff By The Sea,Road To The Sea,0.6667,Carry The Flag,0.625,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,1.57,Keke,Kenkelly,0.6667,Keefy,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,1.57,Likedbymike,Halimede,0.5263,Livemore,0.5263,NO_MATCH,best fuzzy score 0.526 below 0.90 threshold
NAA,1.57,Xerling,Rbflying,0.6667,Startling,0.625,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,2.33,Abletai,Tabletalk,0.75,Able Astra,0.7059,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
NAA,2.33,Arrowstock,War Socks,0.6316,Rosato,0.625,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
NAA,2.33,Brazilian Diva,Brazilian Rose,0.7143,Zen Diva,0.6364,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
NAA,2.33,Celestial Crown,Celestial Cen,0.8571,Celestias Comet,0.7333,NO_MATCH,best fuzzy score 0.857 below 0.90 threshold
NAA,2.33,Hanney Boy,Hey Boo,0.7059,Sharkeyboy,0.7,NO_MATCH,best fuzzy score 0.706 below 0.90 threshold
NAA,2.33,Rejoinder,Revoir,0.6667,Jindri,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,3.08,Ardadslosttheplot,Paradise Lost,0.6,Ardad Steve,0.5714,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
NAA,3.08,Bold Optimist,Bold Impact,0.6667,Bold Shout,0.6087,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,3.08,Jordan Breeze,Dandy Breeze,0.8,Bohemian Breeze,0.7143,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
NAA,3.08,Phil'S Dream,Paul's Dream,0.8182,Let's Dream,0.7619,NO_MATCH,best fuzzy score 0.818 below 0.90 threshold
NAA,3.44,Sarah'S Choice,Mark's Choice,0.8,Danica's Choice,0.7407,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
NAA,3.44,Wo Wo Never,No Knee Never,0.6667,Or Ever,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NAA,4.18,Drowsy Maggie,Doyen Magic,0.6667,Royal Message,0.6154,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
