race_id,course,off_time,specialist,signal_type,predicted_horse,horse_id,score,actual_winner,hit,final_sp,timing_safety,source_artifact
923098,Lingfield,5.20,MARKET_DECEPTION_MODEL,specialist_score,Golden Orbit,8174731,0.2323,Probation,False,1.83,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923098,Lingfield,5.20,RPDC_LEADER,heuristic,Probation,8858093,3.3,Probation,True,2.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923097,Lingfield,5.50,PLACE_MODEL,calibrated_model,Lunella,9208607,0.9562,Brunhilde,False,5.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923097,Lingfield,5.50,LONGSHOT_MODEL,calibrated_model,Lunella,9208607,0.35,Brunhilde,False,5.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923097,Lingfield,5.50,IMPROVEMENT_MODEL,specialist_score,Lunella,9208607,0.0898,Brunhilde,False,5.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923097,Lingfield,5.50,MARKET_DECEPTION_MODEL,specialist_score,Brunhilde,9254381,0.3903,Brunhilde,True,1.14,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923097,Lingfield,5.50,RPDC_LEADER,heuristic,Brunhilde,9254381,2.8,Brunhilde,True,1.14,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923099,Lingfield,6.20,PLACE_MODEL,calibrated_model,Fire Thunder,9208608,0.9966,Fire Thunder,True,1.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923099,Lingfield,6.20,LONGSHOT_MODEL,calibrated_model,Fire Thunder,9208608,0.6195,Fire Thunder,True,1.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923099,Lingfield,6.20,IMPROVEMENT_MODEL,specialist_score,Fire Thunder,9208608,0.586,Fire Thunder,True,1.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
