Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"BATED BREEZE (IRE)",2021,GELDING,"BATED BREATH (GB)","OLGA DA POLGA (IRE)","Gary & Josh Moore",47,-1,,,,,,,,,,
"BAY CITY ROLLER (IRE)",2022,COLT,"NEW BAY (GB)","BLOOMFIELD (IRE)","George Scott",118,+1,,,,,,,,,,
"BAYNOONA (IRE)",2021,FILLY,"OASIS DREAM (GB)","HAPPY HIKER (IRE)","Susan Gardner",48,-1,,,,,,,,,,
"BAYRAAT (GB)",2016,GELDING,"HEERAAT (IRE)","BAYMIST (GB)","Tom Tate",53,+1,,,,,,,,,,
"BEARISH (IRE)",2023,COLT,"KODI BEAR (IRE)","CHIRINGUITA (USA)","Ed Dunlop",82,new,,,,,,,,,,
"BEAT THE EDGE (IRE)",2017,GELDING,"BEAT HOLLOW (GB)","DARSI O'GRADY (IRE)","Micky Hammond",,,,,,,69,-1,,,,
"BEAUFORT BREEZE (IRE)",2019,GELDING,"LUCKY SPEED (IRE)","SUMMER TALK (IRE)","D. J. Jeffreys",,,,,,,,,,87,new,
"BEAUNE (IRE)",2022,GELDING,"BLUE POINT (IRE)","CHATEAU LA FLEUR (IRE)","Bernard Llewellyn",59,-1,,,,,,,,,,
"BEAUTY GENERATION (IRE)",2021,GELDING,"ULYSSES (IRE)","BANANA SPLIT (GB)","Ross Burdon",55,-2,,58,-2,,,,,,,
"BEGIN THE LUCK (IRE)",2016,GELDING,"LE FOU (IRE)","BOBSYOURDAD (IRE)","Daisy Hitchins",,,,,,,104,-1,,,,
"BELGARUM (IRE)",2018,GELDING,"SHIROCCO (GER)","CYRILS GIRL (GB)","Joe Tizzard",,,,,,,,,,106,+2,
"BELIEVITANDUCAN (IRE)",2021,GELDING,"MAKE BELIEVE (GB)","SHIRIN OF PERSIA (IRE)","Alan King",84,+7,,,,,,,,123,,
"BELL SHOT (IRE)",2019,GELDING,"DARK ANGEL (IRE)","MERRY ME (IRE)","Michael Appleby",83,-1,,,,,,,,,,
"BELLA BISBEE (GB)",2021,FILLY,"MUHAARAR (GB)","STERLING SOUND (USA)","Scott Dixon",68,-1,,,,,,,,,,
"BELLE LE GRAND (GB)",2019,FILLY,"UNIVERSAL (IRE)","SAABOOG (GB)","Dan Skelton",,,,,,,111,new,,111,,
"BENACRE (IRE)",2020,GELDING,"AUSTRALIA (GB)","SENT FROM HEAVEN (IRE)","Charlie Johnston",76,-2,,,,,,,,,,
"BENY NAHAR ROAD (IRE)",2019,GELDING,"NATHANIEL (IRE)","WONDER WHY (GER)","Henry Hogarth",,,,,,,,,,104,-2,
"BEORMA (IRE)",2019,FILLY,"DOYEN (IRE)","MOURNESEAFOOD LASS (IRE)","Dan Skelton",,,,,,,91,+10,,91,+10,
"BERKSHIRE BOOM (IRE)",2023,GELDING,"SUPREMACY (IRE)","MY WISH (IRE)","Andrew Balding",70,-3,,,,,,,,,,
"BERRY CLEVER (GB)",2021,GELDING,"EXPERT EYE (GB)","ROSE BERRY (GB)","Chris Dwyer",74,+1,,,,,,,,,,
"BERYL'S GIRL (GB)",2023,FILLY,"UBETTABELIEVEIT (IRE)","CHERUBIC (GB)","Eve Johnson Houghton",56,-2,,,,,,,,,,
"BIG GYPSY KING (GB)",2022,FILLY,"SEA THE MOON (GER)","NOT AFTER HOURS (FR)","James Moffatt",46,,,,,,,,,71,new,
"BILLYB (FR)",2019,GELDING,"RAVEN'S PASS (USA)","AZTEC QUEEN (GB)","Craig Lidster",85,-1,,,,,,,,,,
"BINADHAM (IRE)",2022,GELDING,"KODIAC (GB)","RAJMAHAL (UAE)","Kevin Philippart de Foy",75,-1,,,,,,,,,,
"BITTALEMON (GB)",2021,FILLY,"DUBAWI (IRE)","BIZZARRIA (GB)","James Moffatt",,,,,,,,,,111,+4,
"BLACK MISSILE (IRE)",2023,GELDING,"SERGEI PROKOFIEV (CAN)","OH SIMPLE THING (IRE)","Julie Camacho",66,-2,,,,,,,,,,
"BLAZING SAM (GB)",2023,GELDING,"AL KAZEEM (GB)","ORAPIDS (GB)","Georgina Nicholls",45,new,,,,,,,,,,
"BLINDFOLD GAMES (IRE)",2023,FILLY,"MEHMAS (IRE)","KISSEPAL (IRE)","George Boughey",60,-1,,,,,,,,,,
"BLOSSOM IN THE AIR (GB)",2023,FILLY,"LAND FORCE (IRE)","POPPY IN THE WIND (GB)","Robert Edwards",46,-1,,,,,,,,,,
"BLUE COURVOISIER (GB)",2023,COLT,"SEA THE STARS (IRE)","PRICELESS (GB)","Clive Cox",92,+9,,,,,,,,,,
"BLUE FORCE (IRE)",2021,GELDING,"BLUE POINT (IRE)","MISS FAY (IRE)","Antony Brittain",61,-2,,,,,,,,,,
"BLUE HERCULES (IRE)",2023,COLT,"GHAIYYATH (IRE)","SOUSMAIN (GB)","William Muir & Chris Grassick",85,new,,,,,,,,,,
"BLUE NOON (IRE)",2023,FILLY,"BLUE POINT (IRE)","MOON SHADDOW (IRE)","Richard Hannon",75,-2,,,,,,,,,,
"BLUE POINT EXPRESS (IRE)",2022,FILLY,"BLUE POINT (IRE)","MISS FAY (IRE)","Adrian Wintle",46,-2,,,,,,,,,,
"BLUE SIAM (IRE)",2022,FILLY,"BLUE POINT (IRE)","GOLDEN TEMPS (IRE)","Syd Hosie",51,,,,,,,,,82,+2,
"BLUE TO BLUE (IRE)",2023,GELDING,"BLUE POINT (IRE)","HAZARABA (IRE)","Ruth Jefferson",83,-1,,,,,,,,,,
"BOBBY BENNU (IRE)",2021,GELDING,"PHOENIX OF SPAIN (IRE)","CLENAGHCASTLE LADY (IRE)","Roger Varian",92,-1,,,,,,,,,,
"BOBBY DASSLER (IRE)",2019,GELDING,"AWTAAD (IRE)","BUTOOLAT (GB)","Barry Murphy",52,-1,,,,,,,,,,
"BOLD IMPACT (IRE)",2022,GELDING,"BLUE POINT (IRE)","MOTHEEBA (USA)","Rod Millman",73,-4,,,,,,,,,,
"BOOK OF SECRETS (IRE)",2018,GELDING,"FREE EAGLE (IRE)","ALICE TREASURE (IRE)","James Moffatt",,,,,,,,,,96,-2,
"BOOM BOOM (IRE)",2018,GELDING,"CALIFET (FR)","SHE IS A CRACKER (FR)","Rob Summers",,,,,,,83,-1,,,,
"BOWNDER (IRE)",2022,GELDING,"BELARDO (IRE)","CITY VAULTS GIRL (IRE)","Jonathan Portman",64,-1,,,,,,,,,,
"BOYFRIEND (GB)",2021,COLT,"TWILIGHT SON (GB)","TALLOW (IRE)","Richard Hannon",90,+4,,,,,,,,,,
"BRADBURY (IRE)",2023,GELDING,"GHAIYYATH (IRE)","GLIMMER OF PEACE (IRE)","Edward Bethell",58,+1,,,,,,,,,,
"BRAIN FREEZE (IRE)",2023,FILLY,"KESSAAR (IRE)","LADY LIZABETH (IRE)","Michael Dods",54,+5,,,,,,,,,,
"BRAVE EMPIRE (IRE)",2021,GELDING,"DARK ANGEL (IRE)","ISABEAU (IRE)","Ivan Furtado",57,-2,,,,,,,,,,
"BRAVE MOVE (IRE)",2019,GELDING,"GETAWAY (GER)","WATER ROCK (GB)","Fergal O'Brien",,,,,,,,,,86,-2,
"BRAVO ZULU (IRE)",2021,GELDING,"NATIONAL DEFENSE (GB)","RUNWAY GIANT (USA)","David Loughnane",77,+1,,79,+1,,,,,,,
"BREAK POINT (GB)",2020,GELDING,"IFFRAAJ (GB)","FINAL SET (IRE)","Luke Dace",46,,,,,,,,,109,-3,
"BRIGHLEE (FR)",2023,FILLY,"PERSIAN KING (IRE)","SOUDAINETE (GER)","David Menuisier",73,-3,,,,,,,,,,
"BRIGHTON BOY (IRE)",2022,GELDING,"GREGORIAN (IRE)","NATURAL INSTINCT (IRE)","Tim Easterby",86,+2,,,,,,,,,,
"BRIONYWELLS (GB)",2020,FILLY,"JACK HOBBS (GB)","PANDY WELLS (GB)","David Killahena & Graeme McPherson",,,,,,,,,,84,+7,
