Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"ALCARATH (IRE)",2022,GELDING,"Alan King",T:86,T:81,T:86,T:x,T:x,A:x
"ALCARAZ (FR)",2019,GELDING,"George Baker",T:69,H:x,T:59,T:87,T:84,T:72
"ALCEDO (IRE)",2018,GELDING,"Venetia Williams",S:0,S:126,S:126,S:127,S:73,S:116
"ALDERLEY CHARLIE (GB)",2020,GELDING,"Polly Gundry",H:70,H:55,S:0,S:0,S:0,S:0
"ALDERMAN (GB)",2023,COLT,"Richard Hannon",T:x,A:x,T:x,-,-,-
"ALEEN (GB)",2023,FILLY,"Sir Mark Prescott Bt",A:70,T:73,A:59,T:x,T:x,T:x
"ALEEZDANCER (IRE)",2019,GELDING,,T:92,T:82,T:79,T:92,T:77,A:82
"ALEMBIC (GB)",2023,GELDING,"Sir Mark Prescott Bt",A:x,A:x,A:x,-,-,-
"ALENTEJO (FR)",2019,GELDING,"Nicky Henderson",H:126,H:118,S:0,-,-,-
"ALEPPO PEPPER (IRE)",2022,FILLY,"John Ryan",A:42,A:x,-,-,-,-
"ALESSIA FERNANDA (IRE)",2020,FILLY,"Declan Carroll",A:74,A:54,A:70,T:61,T:66,T:75
"ALEX THE GREAT (IRE)",2020,GELDING,"Tony Carroll",H:x,H:x,H:x,A:43,A:33,A:28
"ALEXEI (GER)",2020,GELDING,"Joe Tizzard",H:158,H:158,H:146,H:153,H:147,H:136
"ALFA DUPLICATE (IRE)",2023,FILLY,"Ivan Furtado",T:76,A:72,A:72,A:68,A:52,A:58
"ALFA KELLENIC (GB)",2021,FILLY,"Ivan Furtado",A:91,T:95,T:85,T:95,T:101,T:94
"ALFA PATISSERIE (IRE)",2023,FILLY,,A:58,A:63,T:x,T:x,T:x,-
"ALFA SEA BREEZE (IRE)",2022,FILLY,,A:44,A:35,T:39,T:x,T:x,A:x
"ALFA WHITEBURD (IRE)",2021,GELDING,"Ivan Furtado",T:62,A:70,A:70,A:65,T:53,T:59
"ALFARAZ (GB)",2023,COLT,"Andrew Balding",T:x,T:x,T:88,T:x,-,-
"ALFAREQA (GB)",2022,FILLY,,T:81,T:74,T:x,T:x,A:x,-
"ALFIE D (GB)",2022,GELDING,,A:57,A:19,A:58,A:52,T:x,T:x
"ALFIE'S PRINCESS (IRE)",2017,FILLY,"Sam Thomas",S:124,S:104,S:123,S:121,H:120,H:116
"ALFRED BOUCHER (GB)",2016,GELDING,"Owen Burrows",T:88,A:82,T:73,T:65,T:0,T:104
"ALFRED SPERO (GB)",2022,GELDING,"Cynthia Woods",A:57,A:53,A:54,A:52,T:10,A:53
"ALI SHUFFLE (GB)",2023,FILLY,,T:65,T:74,T:83,T:x,T:x,-
"ALI STAR BERT (GB)",2016,GELDING,,S:82,S:0,S:103,S:103,S:78,S:75
"ALIBEY (GB)",2022,FILLY,"Dylan Cunha",H:100,H:102,H:99,H:x,H:x,H:x
"ALICE DE CLARE (IRE)",2023,FILLY,"James Fanshawe",T:72,T:68,T:66,A:x,A:x,A:x
"ALICE'S INFLUENCE (GB)",2023,FILLY,"David Evans",T:50,T:53,T:50,A:39,A:x,T:x
"ALIDAM (FR)",2021,GELDING,"Sophie Leech",H:79,H:100,H:x,H:x,-,-
"ALIEN STORM (IRE)",2018,GELDING,"Charlie Longsdon",S:132,H:123,S:122,S:128,S:125,S:120
"ALIGN THE STARS (IRE)",2021,GELDING,"Charlie Johnston",T:88,T:98,A:96,A:89,T:83,T:94
"ALIOSKI (GB)",2017,GELDING,,S:0,T:38,A:46,A:53,H:41,H:0
"ALJEZUR (IRE)",2021,GELDING,,T:38,T:41,A:0,A:30,T:51,A:34
"ALKUMATIC JO JO (IRE)",2023,FILLY,"Ivan Furtado",T:68,T:58,T:52,A:67,T:x,A:x
"ALKUWARRIOR (IRE)",2023,GELDING,"Christopher Mason",T:45,T:49,T:55,T:x,T:40,T:x
"ALL ABOUT GEORGE (GB)",2022,GELDING,"Keiran Burke",A:11,T:43,T:x,T:x,A:x,-
"ALL AUTHORIZED (FR)",2019,GELDING,,S:0,H:84,H:58,H:82,S:0,S:68
"ALL IN YOU (FR)",2020,GELDING,"Warren Greatrex",H:127,H:0,H:126,H:123,H:116,H:117
"ALL INN HAND (GB)",2020,FILLY,"Mickey Bowen",H:0,S:78,S:109,H:x,H:97,H:100
"ALL LOVED UP (IRE)",2015,FILLY,"H. Brown",H:93,H:86,H:x,-,-,-
"ALL MOONSHINE (GB)",2022,FILLY,"Andrew Balding",A:87,A:x,A:x,A:x,-,-
"ALL NIGHT PARKING (IRE)",2018,GELDING,"Carroll Gray",H:0,H:0,H:0,H:x,H:x,H:x
"ALL ONE WORD (IRE)",2019,GELDING,"Donald McCain",H:98,H:x,H:x,H:x,-,-
"ALL THE GLORY (GB)",2017,FILLY,"Jonjo & A.J. O'Neill",S:0,S:102,S:125,S:129,S:103,S:63
